Area,Year,Labor Force,Employed,Unemployed,Unemployment Rate                                                                                                                                                                      
Albany City,2001,46150.0,44425.0,1741.6666666666667,3.783333333333333
Albany City,2002,46775.0,44625.0,2125.0,4.575
Albany City,2003,46750.0,44416.666666666664,2341.6666666666665,4.983333333333333
Albany City,2004,46825.0,44466.666666666664,2341.6666666666665,5.016666666666667
Albany City,2005,46825.0,44683.333333333336,2133.3333333333335,4.558333333333333
Albany City,2006,47175.0,45033.333333333336,2158.3333333333335,4.558333333333334
Albany City,2007,46666.666666666664,44541.666666666664,2116.6666666666665,4.491666666666666
Albany City,2008,46850.0,44233.333333333336,2625.0,5.6000000000000005
Albany City,2009,47083.333333333336,43300.0,3825.0,8.1
Albany City,2010,48800.0,44683.333333333336,4100.0,8.391666666666667
Albany City,2011,47850.0,43891.666666666664,3950.0,8.25
Albany City,2012,48433.333333333336,44333.333333333336,4116.666666666667,8.491666666666667
Albany City,2013,48208.333333333336,44716.666666666664,3500.0,7.283333333333334
Albany City,2014,46975.0,44208.333333333336,2733.3333333333335,5.841666666666666
Albany City,2015,47033.333333333336,44575.0,2441.6666666666665,5.2
Albany City,2016,47008.333333333336,44691.666666666664,2300.0,4.866666666666666
Albany City,2017,47750.0,45325.0,2391.6666666666665,5.041666666666667
Albany City,2018,47550.0,45466.666666666664,2075.0,4.366666666666666
Albany City,2019,47533.333333333336,45525.0,2008.3333333333333,4.241666666666666
Albany City,2020,47525.0,43216.666666666664,4308.333333333333,9.041666666666666
Albany City,2021,46525.0,43841.666666666664,2683.3333333333335,5.766666666666667
Albany City,2022,46550.0,44741.666666666664,1825.0,3.891666666666667
Albany City,2023,47150.0,45200.0,1950.0,4.141666666666667
Albany City,2024,51633.333333333336,49650.0,1975.0,3.841666666666667
Albany City,2025,51000.0,49000.0,2000.0,3.9
Albany County,2001,154783.33333333334,149600.0,5175.0,3.35
Albany County,2002,157683.33333333334,151416.66666666666,6266.666666666667,3.966666666666667
Albany County,2003,157741.66666666666,150958.33333333334,6775.0,4.291666666666667
Albany County,2004,158266.66666666666,151566.66666666666,6708.333333333333,4.241666666666666
Albany County,2005,159158.33333333334,152908.33333333334,6241.666666666667,3.9
Albany County,2006,159516.66666666666,153400.0,6125.0,3.8499999999999996
Albany County,2007,158433.33333333334,152383.33333333334,6058.333333333333,3.8166666666666664
Albany County,2008,159333.33333333334,151683.33333333334,7650.0,4.783333333333333
Albany County,2009,158975.0,148033.33333333334,10950.0,6.883333333333333
Albany County,2010,161625.0,150133.33333333334,11491.666666666666,7.108333333333333
Albany County,2011,158500.0,147441.66666666666,11075.0,6.9750000000000005
Albany County,2012,160391.66666666666,148866.66666666666,11541.666666666666,7.2
Albany County,2013,160575.0,150583.33333333334,9991.666666666666,6.2250000000000005
Albany County,2014,157033.33333333334,149300.0,7733.333333333333,4.916666666666667
Albany County,2015,158191.66666666666,151266.66666666666,6933.333333333333,4.375
Albany County,2016,158525.0,151975.0,6558.333333333333,4.141666666666667
Albany County,2017,161091.66666666666,154316.66666666666,6766.666666666667,4.2
Albany County,2018,161033.33333333334,155083.33333333334,5925.0,3.6916666666666664
Albany County,2019,161316.66666666666,155691.66666666666,5616.666666666667,3.483333333333333
Albany County,2020,159575.0,148575.0,11025.0,6.925
Albany County,2021,157775.0,150733.33333333334,7050.0,4.45
Albany County,2022,158683.33333333334,153758.33333333334,4916.666666666667,3.1
Albany County,2023,160616.66666666666,155341.66666666666,5266.666666666667,3.2916666666666665
Albany County,2024,161491.66666666666,156083.33333333334,5416.666666666667,3.341666666666667
Albany County,2025,159700.0,154000.0,5700.0,3.6
Albany-Rensselaer-Schenectady Counties,2001,307941.6666666667,297233.3333333333,10725.0,3.475
Albany-Rensselaer-Schenectady Counties,2002,313741.6666666667,300600.0,13125.0,4.175
Albany-Rensselaer-Schenectady Counties,2003,313516.6666666667,299525.0,13975.0,4.458333333333333
Albany-Rensselaer-Schenectady Counties,2004,315475.0,301508.3333333333,13941.666666666666,4.433333333333334
Albany-Rensselaer-Schenectady Counties,2005,318275.0,305375.0,12908.333333333334,4.066666666666666
Albany-Rensselaer-Schenectady Counties,2006,319583.3333333333,306941.6666666667,12641.666666666666,3.9583333333333335
Albany-Rensselaer-Schenectady Counties,2007,316808.3333333333,304225.0,12583.333333333334,3.975
Albany-Rensselaer-Schenectady Counties,2008,319433.3333333333,303658.3333333333,15766.666666666666,4.933333333333334
Albany-Rensselaer-Schenectady Counties,2009,319700.0,296733.3333333333,22950.0,7.166666666666667
Albany-Rensselaer-Schenectady Counties,2010,325383.3333333333,301033.3333333333,24358.333333333332,7.483333333333333
Albany-Rensselaer-Schenectady Counties,2011,318566.6666666667,295333.3333333333,23241.666666666668,7.291666666666667
Albany-Rensselaer-Schenectady Counties,2012,321833.3333333333,297625.0,24191.666666666668,7.516666666666667
Albany-Rensselaer-Schenectady Counties,2013,321933.3333333333,300866.6666666667,21050.0,6.541666666666667
Albany-Rensselaer-Schenectady Counties,2014,314100.0,297841.6666666667,16250.0,5.166666666666667
Albany-Rensselaer-Schenectady Counties,2015,315258.3333333333,300925.0,14325.0,4.55
Albany-Rensselaer-Schenectady Counties,2016,315925.0,302475.0,13433.333333333334,4.241666666666666
Albany-Rensselaer-Schenectady Counties,2017,320866.6666666667,307016.6666666667,13850.0,4.3
Albany-Rensselaer-Schenectady Counties,2018,321850.0,309616.6666666667,12216.666666666666,3.7916666666666665
Albany-Rensselaer-Schenectady Counties,2019,322716.6666666667,311258.3333333333,11491.666666666666,3.5666666666666664
Albany-Rensselaer-Schenectady Counties,2020,320275.0,297666.6666666667,22616.666666666668,7.083333333333333
Albany-Rensselaer-Schenectady Counties,2021,316483.3333333333,301983.3333333333,14500.0,4.583333333333333
Albany-Rensselaer-Schenectady Counties,2022,318125.0,308016.6666666667,10091.666666666666,3.1750000000000003
Albany-Rensselaer-Schenectady Counties,2023,321950.0,311200.0,10775.0,3.358333333333333
Albany-Rensselaer-Schenectady Counties,2024,318275.0,307225.0,11008.333333333334,3.466666666666667
Albany-Rensselaer-Schenectady Counties,2025,315000.0,303100.0,11900.0,3.8
Albany-Schenectady-Troy Metro Area,2001,435383.3333333333,420275.0,15133.333333333334,3.475
Albany-Schenectady-Troy Metro Area,2002,444500.0,426025.0,18483.333333333332,4.175
Albany-Schenectady-Troy Metro Area,2003,445166.6666666667,425658.3333333333,19475.0,4.383333333333334
Albany-Schenectady-Troy Metro Area,2004,448775.0,429325.0,19450.0,4.3500000000000005
Albany-Schenectady-Troy Metro Area,2005,454016.6666666667,435916.6666666667,18091.666666666668,4.0
Albany-Schenectady-Troy Metro Area,2006,455833.3333333333,438141.6666666667,17683.333333333332,3.875
Albany-Schenectady-Troy Metro Area,2007,451700.0,433941.6666666667,17775.0,3.9250000000000003
Albany-Schenectady-Troy Metro Area,2008,456208.3333333333,433925.0,22275.0,4.891666666666667
Albany-Schenectady-Troy Metro Area,2009,457358.3333333333,425141.6666666667,32216.666666666668,7.05
Albany-Schenectady-Troy Metro Area,2010,459466.6666666667,425341.6666666667,34116.666666666664,7.425
Albany-Schenectady-Troy Metro Area,2011,449975.0,417566.6666666667,32416.666666666668,7.2
Albany-Schenectady-Troy Metro Area,2012,454583.3333333333,420841.6666666667,33733.333333333336,7.416666666666667
Albany-Schenectady-Troy Metro Area,2013,455133.3333333333,425783.3333333333,29350.0,6.441666666666666
Albany-Schenectady-Troy Metro Area,2014,444300.0,421633.3333333333,22658.333333333332,5.1000000000000005
Albany-Schenectady-Troy Metro Area,2015,446566.6666666667,426508.3333333333,20058.333333333332,4.491666666666666
Albany-Schenectady-Troy Metro Area,2016,448141.6666666667,429325.0,18816.666666666668,4.191666666666666
Albany-Schenectady-Troy Metro Area,2017,456308.3333333333,436875.0,19416.666666666668,4.2749999999999995
Albany-Schenectady-Troy Metro Area,2018,458525.0,441333.3333333333,17200.0,3.733333333333334
Albany-Schenectady-Troy Metro Area,2019,460108.3333333333,444016.6666666667,16091.666666666666,3.5
Albany-Schenectady-Troy Metro Area,2020,456900.0,425441.6666666667,31458.333333333332,6.891666666666667
